id,Source,Target,label
470,Committee of Congress,Report on Memorial for General Montgomery,Report on Memorial for General Montgomery
471,Richard Smith,Diary,Diary
472,William Livingston,Samuel Tucker,Samuel Tucker
473,New York Delegates, New York Committee of Safety, New York Committee of Safety
474,Richard Smith,Diary,Diary
475,John Hancock,George Washington,George Washington
476,Richard Smith,Diary,Diary
477,John Hancock, Massachusetts Assembly, Massachusetts Assembly
478,Joseph Hewes,Samuel Purviance,Samuel Purviance
479,Robert Alexander, Maryland Council of Safety, Maryland Council of Safety
480,Richard Smith,Diary,Diary
481,Thomas McKean,Philip Schuyler,Philip Schuyler
482,Richard Smith,Diary,Diary
483,Richard Smith,Diary,Diary
484,Richard Smith,Diary,Diary
485,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
486,Oliver Wolcott,Samuel Lyman,Samuel Lyman
487,Thomas Nelson jr.,Thomas Jefferson,Thomas Jefferson
488,Richard Smith,Diary,Diary
489,Richard Smith,Diary,Diary
490,Richard Smith,Diary,Diary
491,Richard Smith,Diary,Diary
492,Richard Smith,Diary,Diary
493,Abraham Clark,Elias Dayton,Elias Dayton
494,Oliver Wolcott,Ezekiel Williams,Ezekiel Williams
495,New York Delegates, New York Committee of Safety, New York Committee of Safety
496,Joseph Hewes,Samuel Johnston,Samuel Johnston
497,John Hancock,George Washington,George Washington
498,Francis Lightfoot Lee,Landon Carter,Landon Carter
499,Richard Smith,Diary,Diary
500,Benjamin Harrison,Thomas Jefferson,Thomas Jefferson
501,Charles Thomson, President of Pennsylvania Committee of Safety, President of Pennsylvania Committee of Safety
502,Richard Smith,Diary,Diary
503,John Adams,Mrs. Adams,Mrs. Adams
504,John Penn,Thomas Person,Thomas Person
505,Richard Smith,Diary,Diary
506,Richard Smith,Diary,Diary
507,Richard Smith,Diary,Diary
508,Robert Alexander, Maryland Council of Safety, Maryland Council of Safety
509,Richard Smith,Diary,Diary
510,John Adams,James Warren,James Warren
511,Oliver Wolcott,Samuel Lyman,Samuel Lyman
512,Richard Smith,Diary,Diary
513,John Hancock,Charles Lee,Charles Lee
514,Richard Smith,Diary,Diary
515,John Hancock,Philip Schuyler,Philip Schuyler
516,Richard Smith,Diary,Diary
517,Richard Smith,Diary,Diary
518,James Duane,Notes of Debates,Notes of Debates
519,Richard Smith,Diary,Diary
520,James Duane, New York Convention, New York Convention
521,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
522,Benjamin Franklin,Proposed Resolve,Proposed Resolve
523,Richard Smith,Diary,Diary
524,Samuel Adams,Mrs. Adams,Mrs. Adams
525,Richard Smith,Diary,Diary
526,Robert Alexander, Maryland Council of Safety, Maryland Council of Safety
527,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
528,Richard Smith,Diary,Diary
529,Richard Smith,Diary,Diary
530,James Duane,Lord Stirling,Lord Stirling
531,John Hancock,Lord Stirling,Lord Stirling
532,John Hancock,Charles Lee,Charles Lee
533,Richard Smith,Diary,Diary
534, Secret Committee,Silas Deane,Silas Deane
535,533- William Whipple,Meshech Weare,Meshech Weare
536, Committee of Secret Correspondence,Silas Deane,Silas Deane
537, Committee of Secret Correspondence,Silas Deane,Silas Deane
538,Richard Smith,Diary,Diary
539,Josiah Bartlett,John Langdon,John Langdon
540,A. George Read,Caesar Rodney,Caesar Rodney
541,Richard Smith,Diary,Diary
542,John Hancock,George Washington,George Washington
543,John Hancock,Philip Schuyler,Philip Schuyler
544,Richard Smith,Diary,Diary
545,Richard Smith,Diary,Diary
546,Oliver Wolcott,Matw Griswold,Matw Griswold
547,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
548,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
549,Richard Smith,Diary,Diary
550,Richard Smith,Diary,Diary
551,Richard Smith,Diary,Diary
552,William Hooper,Joseph Trumbull,Joseph Trumbull
553,Richard Smith,Diary,Diary
554,John Hancock,Colonel Shea,Colonel Shea
555,John Hancock,Colonel Magaw,Colonel Magaw
556,John Hancock,Colonel Irvine,Colonel Irvine
557,John Hancock,Colonel Dayton,Colonel Dayton
558,New York Delegates, New York Convention, New York Convention
559,John Hancock, New York Convention, New York Convention
560,John Hancock,Lord Stirling,Lord Stirling
561,Richard Smith,Diary,Diary
562,Matw Tilghman, Maryland Council of Safety, Maryland Council of Safety
563,Richard Smith,Diary,Diary
564,John Hancock,Duncan Campbell,Duncan Campbell
565,Richard Smith,Samuel Tucker,Samuel Tucker
566,Oliver Wolcott,Samuel Lyman,Samuel Lyman
567,Andrew Allen,Philip Schuyler,Philip Schuyler
568,Richard Smith,Diary,Diary
569,Richard Smith,Diary,Diary
570,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
571,Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
572,Richard Smith,Diary,Diary
573,Joseph Hewes,Samuel Johnston,Samuel Johnston
574, Maryland Delegates, Maryland Council of Safety, Maryland Council of Safety
575,Richard Smith,Diary,Diary
576,John Adams,James Warren,James Warren
577,Charles Thomson,Note,Note
578,Richard Smith,Diary,Diary
579,John Jay,Alexander McDougall,Alexander McDougall
580,John Adams,Horatio Gates,Horatio Gates
581,William Whipple,Josiah Bartlett,Josiah Bartlett
582,Richard Smith,Diary,Diary
583,Richard Henry Lee,Charles Lee,Charles Lee
584,Richard Smith,Diary,Diary
585,Elbridge Gerry,James Warren,James Warren
586,Joseph Hewes,Samuel Johnston,Samuel Johnston
587,Richard Smith,Diary,Diary
588,John Adams,Mrs. Adams,Mrs. Adams
589,Richard Smith,Diary,Diary
590,Samuel Huntington,Joseph Trumbull,Joseph Trumbull
591,Richard Henry Lee,Charles Lee,Charles Lee
592,John Adams,George Washington,George Washington
593,John Adams,James Warren,James Warren
594,Samuel Adams,Joseph Palmer,Joseph Palmer
595,John Hancock,a Continental Officer,a Continental Officer
596,William Whipple,Josiah Bartlett,Josiah Bartlett
597,Elbridge Gerry,James Warren,James Warren
