id,Source,Target,label
2428,Samuel Holten,Diary,Diary
2429,A Committee of Congress,George Washington,George Washington
2430,John Fell,Diary,Diary
2431,James Duane,George Washington,George Washington
2432,Richard Henry Lee,Baron de Knobelauch,Baron de Knobelauch
2433, Rhode Island Delegates,William Greene,William Greene
2434,Henry Laurens,George Washington,George Washington
2435,John Fell,Diary,Diary
2436,James Duane,Philip Schuyler,Philip Schuyler
2437,James Duane,Philip Schuyler,Philip Schuyler
2438,John Jay,Philip Schuyler,Philip Schuyler
2439,James Duane,George Clinton,George Clinton
2440,Richard Henry Lee,Arthur Lee,Arthur Lee
2441,Thomas Burke,George Washington,George Washington
2442,Thomas Burke,Benjamin Harrison ( ?),Benjamin Harrison ( ?)
2443,Gouverneur Morris,Proposed Motion,Proposed Motion
2444,Henry Laurens,Proposed Amendment,Proposed Amendment
2445,John Fell,Diary,Diary
2446,Samuel Adams,James Warren,James Warren
2447,James Lovell,Horatio Gates,Horatio Gates
2448,William Whipple,Meshech Weare,Meshech Weare
2449,Thomas Burke,George Washington,George Washington
2450,Samuel Holten,Diary,Diary
2451,John Fell,Diary,Diary
2452,John Fell,William Livingston,William Livingston
2453,Henry Laurens,Notes of Debates,Notes of Debates
2454,John Fell,Diary,Diary
2455,William Whipple,Josiah Bartlett,Josiah Bartlett
2456,William Whipple,John Langdon,John Langdon
2457,Henry Laurens,Notes of Debates,Notes of Debates
2458,Richard Henry Lee,John Page,John Page
2459,John Fell,Diary,Diary
2460,John Collins,William Greene,William Greene
2461,William Ellery,John Sullivan,John Sullivan
2462, Maryland Delegates,Thomas Johnsonjr.,Thomas Johnsonjr.
2463,Charles Thomson,Memorandum,Memorandum
2464,John Fell,Diary,Diary
2465, Board of Treasury,John Sullivan,John Sullivan
2466,A Committee of Congress,Jeremiah Wadsworth,Jeremiah Wadsworth
2467, Massachusetts Delegates,Jeremiah Powell,Jeremiah Powell
2468,John Fell,Diary,Diary
2469, North Carolina Delegates, South Carohna Delegates, South Carohna Delegates
2470, North Carolina Delegates,Richard Caswell,Richard Caswell
2471,Samuel Holten,Diary,Diary
2472,John Fell,Diary,Diary
2473,Henry Laurens,William Henry Drayton,William Henry Drayton
2474,Henry Laurens,John Laurens,John Laurens
2475,John Armstrong,Horatio Gates,Horatio Gates
2476,William Henry Drayton,Henry Laurens,Henry Laurens
2477,Henry Laurens,William Henry Drayton,William Henry Drayton
2478,Henry Laurens,Richard Caswell,Richard Caswell
2479,Henry Laurens, North Carolina Delegates, North Carolina Delegates
2480,John Jay,Horatio Gates,Horatio Gates
2481,James Lovell,Horatio Gates,Horatio Gates
2482,John Fell,Diary,Diary
2483, Maryland Delegates,Thomas Johnsonjr.,Thomas Johnsonjr.
2484,William Whipple,Josiah Bartlett,Josiah Bartlett
2485,John Jay, Several States, Several States
2486,John Fell,Diary,Diary
2487, North Carolina Delegates,Henry Laurens,Henry Laurens
2488,Henry Laurens, North Carolina Delegates, North Carolina Delegates
2489,Henry Laurens,John Laurens,John Laurens
2490,Gouverneur Morris,Joseph Reed,Joseph Reed
2491,John Fell,Diary,Diary
2492,Samuel Llolten,Diary,Diary
2493,Henry Laurens,Statement,Statement
2494,James Lovell,Horatio Gates,Horatio Gates
2495, Rhode Island Delegates,William Greene,William Greene
2496,John Fell,Diary,Diary
2497, Massachusetts Delegates,Jeremiah Powell,Jeremiah Powell
2498,John Fell,Diary,Diary
2499,Henry Laurens,John Laurens,John Laurens
2500,John Fell,Diary,Diary
2501,Henry Laurens,John Laurens,John Laurens
2502,Richard Henry Lee,William Shippenjr.,William Shippenjr.
2503,Henry Laurens,William Livingston,William Livingston
2504,James Lovell,Horatio Gates,Horatio Gates
2505,John Fell,Diary,Diary
2506, Rhode Island Delegates,William Greene,William Greene
2507,Henry Laurens,Statement,Statement
2508,Thomas Burke. Account of Interview with Gerard,Report,Report
2509,Richard Henry Lee,Statement,Statement
2510,John Jay,George Washington,George Washington
2511,John Fell,Diary,Diary
2512,William Henry Draj^ton,Timothy Matlack,Timothy Matlack
2513,Charles Thomson,Statement,Statement
2514,John Fell,Diary,Diary
2515,Richard Henry Lee,John Adams,John Adams
2516,John Jay,Conrad Alexandre Gerard,Conrad Alexandre Gerard
2517,John Jay,George Washington,George Washington
2518,Henry Laurens,Notes,Notes
2519,Gouverneur Morris,George Washington,George Washington
2520,William Whipple,John Langdon,John Langdon
2521,Richard Henry Lee,Francis Lightfoot Lee,Francis Lightfoot Lee
2522, Massachusetts Delegates,Jeremiah Powell,Jeremiah Powell
2523,John Fell,Diary,Diary
2524,James Duane,George Washington,George Washington
2525,Richard Henry Lee,George Washington,George Washington
2526,John Fell,Diary,Diary
2527,James Lovell,Benjamin Franklin,Benjamin Franklin
2528,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2529,Samuel Adams,Samuel Cooper,Samuel Cooper
2530,Frederick Frelinghuysen,Caleb Camp,Caleb Camp
2531,John Fell,Diary,Diary
2532,Henry Laurens,Notes,Notes
2533,James Duane,Philip Schuyler,Philip Schuyler
2534,John Fell,Diary,Diary
2535,Henry Laurens,John Laurens,John Laurens
2536,William Carmichael,Statement,Statement
2537,John Fell,Diary,Diary
2538,Joseph Spencer,Oliver Ellsworth,Oliver Ellsworth
2539,William Ellery,William Greene,William Greene
2540,Thomas Burke,Timothy Matlack,Timothy Matlack
2541,John Fell,Diary,Diary
2542,Henry Laurens,Notes of Debates,Notes of Debates
2543, Virginia Delegates,George Washington,George Washington
2544, South Carolina Delegates,John Rutledge,John Rutledge
2545,John Fell,Diary,Diary
2546,Henry Laurens,Motion,Motion
2547,Henry Laurens,Notes of Debates,Notes of Debates
2548,Henry Laurens,Notes of Debates,Notes of Debates
2549, Rhode Island Delegates,William Greene,William Greene
2550,Daniel of St. Thomas Jenifer,Thomas Johnsonjr.,Thomas Johnsonjr.
2551,John Jay,George Washington,George Washington
2552,John Armstrong,George Washington,George Washington
2553,John Dickinson,Caesar Rodney,Caesar Rodney
2554,William Fleming,Thomas Jefferson,Thomas Jefferson
2555,John Fell,Diary,Diary
2556,Samuel Holten,Jeremiah Powell,Jeremiah Powell
2557,Samuel Adams,James Warren,James Warren
2558, Maryland Delegates,Thomas Johnsonjr.,Thomas Johnsonjr.
2559,William Carmichael,Thomas Johnsonjr.,Thomas Johnsonjr.
2560,John Fell,Diary,Diary
2561,Henry Laurens,Notes,Notes
2562,Henry Laurens,Proposed Resolution,Proposed Resolution
2563,William Floyd,George Clinton,George Clinton
2564,John Fell,Diary,Diary
2565,James Duane,George Washington,George Washington
2566,Henry Laurens,Re03ks on Meriwer Smith's Motion,Re03ks on Meriwer Smith's Motion
2567,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2568, Virginia Delegates,Patrick Henry,Patrick Henry
2569,James Duane,George Washington,George Washington
2570,James Ix)ven,John Avery,John Avery
2571,John Fell,Diary,Diary
2572,Samuel Holten,Jeremiah Powell,Jeremiah Powell
2573,John Jay,George Washington,George Washington
2574,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2575,John Fell,Diary,Diary
2576,Roger Sherman,Benjamin Trumbull,Benjamin Trumbull
2577, North Carolina Delegates,Richard Caswell,Richard Caswell
2578,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2579,William Whipple,Josiah Bartlett,Josiah Bartlett
2580,John Fell,Diary,Diary
2581,John Jay, Several States, Several States
2582,John Jay,George Clinton,George Clinton
2583, Virginia Delegates,Benjamin Harrison,Benjamin Harrison
2584,Richard Henry Lee,Thomas Jefferson,Thomas Jefferson
2585,William Fleming,Thomas Jefferson,Thomas Jefferson
2586,John Armstrong,Horatio Gates,Horatio Gates
2587,Richard Henry Lee,Arthur Lee,Arthur Lee
2588,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2589,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2590,Daniel of St. Thomas Jenifer,Thomas Johnson jr.,Thomas Johnson jr.
2591,William Whipple,John Langdon,John Langdon
2592,John Fell,Diary,Diary
2593,William Ellery,William Greene,William Greene
2594,Samuel Holten,Jeremiah Powell,Jeremiah Powell
2595,Daniel of St. Thomas Jenifer,unknown,unknown
2596,Samuel Holten,Diary,Diary
2597,John Fell,Diary,Diary
2598,Richard Henry Lee,Henry Laurens,Henry Laurens
2599,Henry Laurens,Minutes of Debates,Minutes of Debates
2600,John Fell,Diary,Diary
2601,Gouverneur Morris,Robert R. Livingston,Robert R. Livingston
2602,Qiarles Carroll of Carrollton,William Carmichael,William Carmichael
2603,Whitmill Hill,Thomas Burke,Thomas Burke
2604,John Fell,Diary,Diary
2605, New York Delegates,George Clinton,George Clinton
2606,James Lovell,Horatio Gates,Horatio Gates
2607, Maryland Delegates,Thomas Johnsonjr.,Thomas Johnsonjr.
2608,Daniel of St. Thomas Jenifer,Thomas Johnsonjr.,Thomas Johnsonjr.
2609,John Fell,Diary,Diary
2610,John Jay,George Clinton,George Clinton
2611,James Lovell,Horatio Gates,Horatio Gates
2612, Board of War,George Washington,George Washington
2613,Henry Laurens,Statement,Statement
2614,William Whipple,Meshech Weare,Meshech Weare
2615,John Fell,Diary,Diary
2616,James Lovell,Horatio Gates,Horatio Gates
2617,William Whipple,John Langdon,John Langdon
2618,Richard Henry Lee,Samuel Adams,Samuel Adams
2619,Richard Henry Lee,Henry Laurens,Henry Laurens
2620,John Fell,Diary,Diary
2621, Maryland Delegates,Thomas Johnsonjr.,Thomas Johnsonjr.
2622,Daniel of St. Thomas Jenifer,Thomas Johnson jr.,Thomas Johnson jr.
2623,Henry Laurens,Richard Henry Lee,Richard Henry Lee
2624,John Jay,Benj amin Franklin,Benj amin Franklin
2625,James Lovell,Horatio Gates,Horatio Gates
2626,Richard Henry Lee,George Mason,George Mason
2627,John Fell,Diary,Diary
2628,John Dickinson,Caesar Rodney,Caesar Rodney
2629,Henry Laurens,Notes,Notes
2630,Henry Laurens,Note,Note
2631,John Fell,Diary,Diary
2632,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2633,James Duane,George Clinton,George Clinton
2634,William Whipple,John Langdon,John Langdon
2635,Richard Henry Lee,William Whipple,William Whipple
2636,James Lovell,John Adams,John Adams
2637,James Lovell,Arthur Lee,Arthur Lee
2638,James Lovell,Benjamin Franklin,Benjamin Franklin
2639,Samuel Adams,Richard Henry Lee,Richard Henry Lee
2640,John Fell,Diary,Diary
2641,James Duane,George Clinton,George Clinton
2642,Daniel of St. Thomas Jenifer,Thomas Johnson jr.,Thomas Johnson jr.
2643,James Lovell,James Warren,James Warren
2644,James Duane,Philip Schuyler,Philip Schuyler
2645, Rhode Island Delegates,William Greene,William Greene
2646,Nathaniel Scudder,Richard Henry Lee,Richard Henry Lee
2647,John Fell,Diary,Diary
2648,James Lovell,Samuel Adams,Samuel Adams
2649, New York Delegates,George Clinton,George Clinton
2650,John Fell,Diary,Diary
2651,John Jay,Benjamin Franklin,Benjamin Franklin
2652,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2653,John Fell,Diary,Diary
2654,William Whipple,Josiah Bartlett,Josiah Bartlett
2655,Daniel of St. Thomas Jenifer,Robert Christie,Robert Christie
2656,James Lovell,Samuel Adams,Samuel Adams
2657,John Fell,Diary,Diary
2658,William Fleming,Thomas Jefferson,Thomas Jefferson
2659,William Shippen,Richard Henry Lee,Richard Henry Lee
2660,John Fell,Diary,Diary
2661,John Armstrong,George Washington,George Washington
2662,Meriwer Smith,Thomas Jefferson,Thomas Jefferson
2663,John Fell,Diary,Diary
2664, Board of Treasury,William Phillips,William Phillips
2665,John Fell,Diary,Diary
2666,John Jay, Several States, Several States
2667, Rhode Island Delegates,William Greene,William Greene
2668, Rhode Island Delegates,William Greene,William Greene
2669,James Lovell,Horatio Gates,Horatio Gates
2670, 03^-land Delegates,Thomas Johnson jr.,Thomas Johnson jr.
2671,John Fell,Diary,Diary
2672,Samuel Holten,Diary,Diary
2673,Henry Laurens,Notes,Notes
2674,John Fell,Diary,Diary
2675,Henry Laurens,Notes,Notes
2676,Samuel Huntington,Jeremiah Wadsworth,Jeremiah Wadsworth
2677,William Whipple,Josiah Bartlett,Josiah Bartlett
2678,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2679,John Fell,Diary,Diary
2680,Samuel Holten,Diary,Diary
2681,John Jay,Colonel Cox,Colonel Cox
2682,John Jay,Colonel Pettit,Colonel Pettit
2683,Henry Laurens,William Livingston,William Livingston
2684,John Fell,Diary,Diary
2685,Samuel Huntington,Oliver Wolcott,Oliver Wolcott
2686,John Armstrong,George Washington,George Washington
2687,John Fell,Diary,Diary
2688,John Jay,Horatio Gates,Horatio Gates
2689,James Lovell,Samuel Adams,Samuel Adams
2690,Roger iSherman,Jabez Huntington,Jabez Huntington
2691,James Duane,Mrs. Duane,Mrs. Duane
2692,Henry Laurens,Robert Morris,Robert Morris
2693, Massachusetts Delegates,Jeremiah Powell,Jeremiah Powell
2694,John Fell,Diary,Diary
2695,James Lovell,Samuel Adams,Samuel Adams
2696,James Searle,Richard Henry Lee,Richard Henry Lee
2697,William Whipple,Josiah Bartlett,Josiah Bartlett
2698,John Armstrong,Horatio Gates,Horatio Gates
2699,John Fell,Diary,Diary
2700,James Lovell,James Warren,James Warren
2701,James Lovell,Samuel Adams,Samuel Adams
2702,Samuel Holten,Jeremiah Powell,Jeremiah Powell
2703,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2704, Rhode Island Delegates,William Greene,William Greene
2705,William Fleming,Thomas Jefferson,Thomas Jefferson
2706,Henry Laurens,Horatio Gates,Horatio Gates
2707,John Fell,Diary,Diary
2708, North Carolina Delegates,Richard Caswell,Richard Caswell
2709,James Lovell,Samuel Adams,Samuel Adams
2710,Henry Laurens,John Houstoun,John Houstoun
2711,Samuel Holten,unknown,unknown
2712,John Fell,Diary,Diary
2713,Henry Laurens,Benjamin Lincoln,Benjamin Lincoln
2714,James Lovell,Richard Henry Lee,Richard Henry Lee
2715,James Lovell,Arthur Lee,Arthur Lee
2716, Committee of Foreign Affairs,Ralph Izard,Ralph Izard
2717, Committee of Foreign Affairs, Navy Board of Eastern Department, Navy Board of Eastern Department
2718,Henry Laurens,John Laurens,John Laurens
2719,Henry Laurens,Proposed Resolves,Proposed Resolves
2720, 03ine Committee,Benjamin Franklin,Benjamin Franklin
2721, Commercial Committee,Oliver Pollock,Oliver Pollock
2722,William Whipple,Ebenezer Thompson,Ebenezer Thompson
2723,John Fell,Diary,Diary
2724,Nathaniel Peabody,Meshech Weare,Meshech Weare
2725,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2726,James Lovell,Samuel Adams,Samuel Adams
2727,James Duane,Mrs. Duane,Mrs. Duane
2728,Samuel Holten,Diary,Diary
2729,John Fell,Diary,Diary
2730,Gouverneur Morris,Robert R. Livingston,Robert R. Livingston
2731,Samuel Huntington,Jeremiah Wadsworth,Jeremiah Wadsworth
2732,John Dickinson,Propositions for Treaty of Peace,Propositions for Treaty of Peace
2733,John Dickinson,Draft of Instructions,Draft of Instructions
2734,John Dickinson,Thomas Rodney,Thomas Rodney
2735,John Fell,Diary,Diary
2736,William Whipple,John Langdon,John Langdon
2737,John Fell,Diary,Diary
2738,William Whipple,Josiah Bartlett,Josiah Bartlett
2739,John Fell,Diary,Diary
2740,Henry Laurens,Alexander Hamilton,Alexander Hamilton
2741,Meriwer Smith,Thomas Jefferson,Thomas Jefferson
2742,Henry Laurens,Notes,Notes
2743,John Fell,Diary,Diary
2744,James Lovell,Richard Henry Lee,Richard Henry Lee
2745,John Fell,Diary,Diary
2746,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2747,William Whipple,Josiah Bartlett,Josiah Bartlett
2748,Samuel Holten,Diary,Diary
2749,John Fell,Diary,Diary
2750,John Jay,George W^ashington,George W^ashington
2751,James Lovell,Benjamin Franklin,Benjamin Franklin
2752,James Lovell,Arthur Lee,Arthur Lee
2753,John Fell,Diary,Diary
2754,James Lovell,Horatio Gates,Horatio Gates
2755,John Fell,Diary,Diary
2756, Rhode Island Delegates,William Greene,William Greene
2757,Henry Laurens,Richard Henry Lee,Richard Henry Lee
2758,Nathaniel Peabody,Meshech Weare,Meshech Weare
2759,William Whipple,Josiah Bartlett,Josiah Bartlett
2760,William Fleming,Thomas Jefferson,Thomas Jefferson
2761,Francis Lewis,Stephen Sayre,Stephen Sayre
2762,John Fell,Diary,Diary
2763,John Jay,Benjamin Lincoln,Benjamin Lincoln
2764,James Lovell,Samuel Adams,Samuel Adams
2765,James Lovell,James Warren,James Warren
2766,A Committee of Congress,Benjamin Lincoln,Benjamin Lincoln
2767,John Fell,Diary,Diary
2768,Thomas Burke, North Carolina Assembly, North Carolina Assembly
2769,John Armstrong,Horatio Gates,Horatio Gates
2770, Committee of Conference,Report,Report
2771,John Fell,Diary,Diary
2772,James Lovell,Richard Henry Lee,Richard Henry Lee
2773,James Lovell,Samuel Adams,Samuel Adams
2774,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2775,Francis Lewis,George Clinton,George Clinton
2776,Samuel Huntington,Jeremiah Wadsworth,Jeremiah Wadsworth
2777,Samuel Holten,Diary,Diary
2778,John Jay,George Washington,George Washington
2779,A Committee of Congress,Nathanael Greene,Nathanael Greene
2780, 03ine Committee,Joseph Reed,Joseph Reed
2781,John Jay,Joseph Reed,Joseph Reed
2782,William Whipple,Richard Henry Lee,Richard Henry Lee
2783,William Whipple,Josiah Bartlett,Josiah Bartlett
2784,Gouverneur Alorris,Robert R. Livingston,Robert R. Livingston
2785,Henry 03chant,Horatio Gates,Horatio Gates
2786,Elbridge Gerry,John Adams,John Adams
2787,Samuel Holten,Jeremiah Powell,Jeremiah Powell
2788,Nathaniel Peabody,Meshech Weare,Meshech Weare
2789,John Jay,George Clinton,George Clinton
2790,James Lovell,Richard Henry Lee,Richard Henry Lee
2791,Samuel Holten,Diary,Diary
2792,John Fell,Diary,Diary
2793,John Jay,William Glascock,William Glascock
2794,Cornelius Harnett,Richard Caswell,Richard Caswell
2795,Henry Laurens,Richard Henry Lee,Richard Henry Lee
2796,James Lovell,Richard Henry Lee,Richard Henry Lee
2797,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2798,Henry Laurens,Statement,Statement
2799,John Fell,Diary,Diary
2800,John Jay,George Qinton,George Qinton
2801,A Committee of Congress,George Washington,George Washington
2802,John Fell,Diary,Diary
2803,Samuel Holten,Diary,Diary
2804,Charles Thomson,Statement,Statement
2805,John Fell,Diary,Diary
2806,Oliver Ellsworth,Communication to Public,Communication to Public
2807,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2808,John Fell,Diary,Diary
2809,Samuel Huntington,Jonathan Trumbull,Jonathan Trumbull
2810,Jesse Root,Jeremiah Wadsworth,Jeremiah Wadsworth
2811,William Churchill Houston,Proposed Report,Proposed Report
2812,Henry Laurens,Proposed Report,Proposed Report
2813,Samuel Holten,Diary,Diary
2814,John Fell,Diary,Diary
2815,Henry Laurens,Notes for Re03ks,Notes for Re03ks
2816,John Fell,Diary,Diary
2817,John Jay, Several States, Several States
2818,Cornelius Harnett,Richard Caswell,Richard Caswell
2819,James Lovell,John Adams,John Adams
2820,Nathaniel Peabody,Meshech Weare,Meshech Weare
2821,John Fell,Diary,Diary
2822,Henry 03chant,Horatio Gates,Horatio Gates
2823,James Lovell,Horatio Gates,Horatio Gates
2824,James Lovell,Benjamin Franklin,Benjamin Franklin
2825,Samuel Holten,Diary,Diary
2826,John Jay,George Clinton,George Clinton
2827,James Lovell,Arthur Lee,Arthur Lee
2828,William Whipple,Richard Henry Lee,Richard Henry Lee
2829,James Lovell,Arthur Lee,Arthur Lee
2830,James Lovell,Samuel Adams,Samuel Adams
2831,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2832,James Forbes,Thomas Sim Lee,Thomas Sim Lee
2833,Henry Laurens,John Laurens,John Laurens
2834,John Maws,Thomas Bee,Thomas Bee
2835,Samuel Holten,Diary,Diary
2836,James Lovell,Arthur Lee,Arthur Lee
2837,Henry Laurens,Notes,Notes
2838,John Jay,Meshech Weare,Meshech Weare
2839,John Jay,George Clinton,George Clinton
2840, Connecticut Delegates,Jonathan Trumbull,Jonathan Trumbull
2841,Henry Laurens,Notes of Proceedings,Notes of Proceedings
2842,John Fell,Diary,Diary
2843,John Jay, Several States, Several States
2844,Henry Laurens,Jonathan Trumbull,Jonathan Trumbull
2845, Maryland Delegates,Thomas Johnsonjr.,Thomas Johnsonjr.
2846,Henry Laurens,John Laurens,John Laurens
2847,James Lovell,Richard Henry Lee,Richard Henry Lee
2848,James Lovell,John Adams,John Adams
2849,Henry 03chant,Horatio Gates,Horatio Gates
2850,John Fell,Diary,Diary
2851,James Lovell,John Adams,John Adams
2852,John Dickinson,Caesar Rodney,Caesar Rodney
2853,Henry Laurens,Richard Henry Lee,Richard Henry Lee
2854,Henry Laurens,William Whipple,William Whipple
2855,Samuel Holten,Jeremiah Powell,Jeremiah Powell
2856,Elbridge Gerry,John Adams,John Adams
2857,James Lovell,Samuel Adams,Samuel Adams
2858,James Lovell,Arthur Lee,Arthur Lee
2859,John Jay,George Clinton,George Clinton
2860,John Jay,Robert R. Livingston,Robert R. Livingston
2861,John Jay,Gouverneur Morris,Gouverneur Morris
2862,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2863,John Fell,Diary,Diary
2864,James Lovell,Horatio Gates,Horatio Gates
2865,Cyrus Griffin,Benjamin Franklin,Benjamin Franklin
2866,James Alercer,Benjamin Harrison,Benjamin Harrison
2867,James Lovell,John Adams,John Adams
2868,John Fell,Diary,Diary
2869,Henry Laurens,John Laurens,John Laurens
2870,Henry Lijurens,John Adams,John Adams
2871, Maryland Delegates,Thomas Johnson jr.,Thomas Johnson jr.
2872,John Fell,Diary,Diary
2873,Edmund Randolph,Benjamin Harrison,Benjamin Harrison
2874,Henry Laurens,Samuel Adams,Samuel Adams
2875,William Churchill Houston,William Livingston,William Livingston
2876,James Lovell,William Whipple,William Whipple
2877,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2878,A Committee of Congress,Jeremiah Wadsworth,Jeremiah Wadsworth
2879,Jesse Root,Jeremiah Wadsworth,Jeremiah Wadsworth
2880,Samuel Holten,Diary,Diary
2881,John Fell,Diary,Diary
2882,Gouverneur Morris,George Clinton,George Clinton
2883,John Fell,Diary,Diary
2884,Cornelius Harnett,Thomas Burke,Thomas Burke
2885,Henry Laurens,Benjamin Lincoln,Benjamin Lincoln
2886,A Committee of Congress,Thomas Johnson jr.,Thomas Johnson jr.
2887,John Fell,Diary,Diary
2888,Richard Henry Lee,Arthur Lee,Arthur Lee
2889, Virginia Delegates,Benjamin Harrison,Benjamin Harrison
2890,Henry Laurens,Richard Henry Lee,Richard Henry Lee
2891,Henry 03chant,William Greene,William Greene
2892,Elbridge Gerry,John Adams,John Adams
2893,Woodbury Langdon,Meshech Weare,Meshech Weare
2894,James Lovell,Richard Henry Lee,Richard Henry Lee
2895,John Fell,Diary,Diary
2896,James Lovell,Arthur Lee,Arthur Lee
2897,James Lovell,Arthur Lee,Arthur Lee
2898,Samuel Holten,Jeremiah Powrell,Jeremiah Powrell
2899,John Armstrong,George Washington,George Washington
2900,John Fell,Diary,Diary
2901,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2902, Committee of Foreign Affairs,William Carmichael,William Carmichael
2903,John Fell,Diary,Diary
2904,Henry Laurens,Jonathan Trumbull,Jonathan Trumbull
2905,Woodbury Langdon,Meshech Weare,Meshech Weare
2906,John Fell,Diary,Diary
2907,Samuel Holten,Diary,Diary
2908,Gouverneur Morris,George Washington,George Washington
2909,John Fell,Diary,Diary
2910,Samuel Holten,Diary,Diary
2911,Daniel of St. Thomas Jenifer,Thomas Johnson jr.,Thomas Johnson jr.
2912,John Fell,Diary,Diary
2913,James Lovell,Richard Henry Lee,Richard Henry Lee
2914,Nathaniel Peabody,Meshech Weare,Meshech Weare
2915,Henry 03chant,William Greene,William Greene
2916,John Fell,Diary,Diary
2917,John Fell,Diary,Diary
2918,John Armstrong,William Irvine,William Irvine
2919,Thomas Burke, North Carolina Assembly, North Carolina Assembly
2920,Thomas Burke,Arthur Middleton,Arthur Middleton
2921,Jesse Root,Oliver Ellsworth,Oliver Ellsworth
2922,John Fell,Diary,Diary
2923,Cornelius Harnett,Richard Caswell,Richard Caswell
2924, Virginia Delegates,Benjamin Harrison,Benjamin Harrison
2925,Samuel Holten,Diary,Diary
2926,John Fell,Diary,Diary
2927, North Carolina Delegates,Richard Caswell,Richard Caswell
2928,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2929,John Fell,Diary,Diary
2930,Thomas McKean,John Adams,John Adams
2931,William Sharpe,Richard Caswell,Richard Caswell
2932,John Fell,Diary,Diary
2933,Samuel Huntington,Thomas Jefferson,Thomas Jefferson
2934,Cyrus Griffin,Benjamin Harrison,Benjamin Harrison
2935,John Fell,Diary,Diary
2936,Samuel Holten,Diary,Diary
2937,Samuel Holten,Jeremiah Powell,Jeremiah Powell
2938,William Sharpe,Richard Caswell,Richard Caswell
2939,Jesse Root,Jonathan Trumbull jr.,Jonathan Trumbull jr.
2940,William Churchill Houston,William Livingston,William Livingston
2941,John Fell,Diary,Diary
2942,Thomas McKean,William 08ustus Atlee,William 08ustus Atlee
2943,Henry 03chant,William Greene,William Greene
2944,John Fell,Diary,Diary
2945,Nathaniel Scudder,Richard Henry Lee,Richard Henry Lee
2946,Henry 03chant,William Greene,William Greene
2947, Massachusetts Delegates,Jeremiah Powell,Jeremiah Powell
2948,Nathaniel Peabody,Meshech Weare,Meshech Weare
2949,John Fell,Diary,Diary
2950,Philip Schuyler,George Washington,George Washington
2951, Massachusetts Delegates,John Hancock,John Hancock
2952, Massachusetts Delegates,John Adams,John Adams
2953,John Fell,Diary,Diary
2954,Charles Thomson, Several States, Several States
2955, New Jersey Delegates,William Livingston,William Livingston
2956,John Fell,Diary,Diary
2957,Cyrus Griffin,Benjamin Harrison,Benjamin Harrison
2958,James Forbes,unknown,unknown
2959,John Fell,Diary,Diary
2960,Jesse Root,Jeremiah Wadsworth,Jeremiah Wadsworth
2961,Samuel Huntington,Oliver Wolcott,Oliver Wolcott
2962,John Fell,Diary,Diary
2963,Samuel Huntington,Thomas Waring,Thomas Waring
2964,Philip Schuyler,George Clinton,George Clinton
2965,John Fell,Diary,Diary
2966, Rhode Island Delegates,William Greene,William Greene
2967,Robert R. Livingston,George Clinton,George Clinton
2968,Nathaniel Peabody,Josiah Bartlett,Josiah Bartlett
2969,Samuel Holten,Diary,Diary
2970,William Sharpe,Richard Caswell,Richard Caswell
2971,Nathaniel Scudder,Nathaniel Peabody,Nathaniel Peabody
2972,Samuel Huntington,William Shippen jr.,William Shippen jr.
2973,Samuel Holten,Diary,Diary
2974,Samuel Huntington,William Livingston,William Livingston
2975,Samuel Holten,Diary,Diary
2976,Samuel Huntington,William Livingston,William Livingston
2977,William Ellery,William Greene,William Greene
2978,Samuel Huntington,Thomas Johnsonjr.,Thomas Johnsonjr.
2979,John Armstrong,James Searle,James Searle
2980,James Lovell,Henry Laurens,Henry Laurens
2981,James Lovell,Henry Laurens,Henry Laurens
2982,Nathaniel Peabody,Henry Laurens,Henry Laurens
2983,Samuel Huntington,Benjamin Lincoln,Benjamin Lincoln
2984,James Lovell,Richard Henry Lee,Richard Henry Lee
2985,Roger Sherman,Jonathan Trumbull,Jonathan Trumbull
2986,Robert R. Livingston,Philip Schuyler,Philip Schuyler
2987,William Floyd,George Clinton,George Clinton
2988,Samuel Huntington,Caesar Rodney,Caesar Rodney
2989,William Ellery,William Greene,William Greene
2990,Woodbury Langdon,Nathaniel Peabody,Nathaniel Peabody
2991,James Lovell,Samuel Adams,Samuel Adams
2992,Thomas Burke,Joseph Reed,Joseph Reed
