id,Label,Source,Target,Type,Timestamp
4906,James Madison,James Madison,Thomas Jefferson,Directed,1787-12-09
4907,Charles Thomson,Charles Thomson,Alexander Contee Hanson,Directed,1787-12-10
4908, Virginia Delegates, Virginia Delegates,Edmund Randolph,Directed,1787-12-11
4909,James Madison,James Madison,Horatio Gates,Directed,1787-12-11
4910, North Carolina Delegates, North Carolina Delegates, North Carolina General Assembly,Directed,1787-12-15
4911,James Madison,James Madison,Thomas Jefferson,Directed,1787-12-20
4912,Edward Carrington,Edward Carrington,Timothy Pickering,Directed,1787-12-22
4913,Charles Thomson,Charles Thomson,Samuel Huntington,Directed,1787-12-27
4914,Charles Pettit,Charles Pettit,William Irvine,Directed,1787-12-29
4915,James Randolph Reid,James Randolph Reid,George Ross,Directed,1787-01-04
4916,James Madison,James Madison,Edmund Randolph,Directed,1787-01-10
4917,James Madison,James Madison,George Washington,Directed,1787-01-20
4918,James White,James White,Charles Thomson,Directed,1787-01-22
4919,Charles Thomson,Charles Thomson, Several States,Directed,1787-01-23
4920,James Madison,James Madison,Edmund Randolph,Directed,1787-01-27
4921,Charles Thomson,Charles Thomson,Thomas FitzSimons,Directed,1787-02-03
4922,Samuel Alleyne Otis,Samuel Alleyne Otis,James Warren,Directed,1787-02-06
4923,James White,James White,Samuel Johnston,Directed,1787-02-11
4924,Joseph Piatt Cooke,Joseph Piatt Cooke,Jeremiah Wadsworth,Directed,1787-02-13
4925,Charles Thomson,Charles Thomson, Several States,Directed,1787-02-15
4926,Paine Wingate,Paine Wingate,John Sullivan,Directed,1787-02-16
4927,Cyrus Griffin,Cyrus Griffin,Thomas FitzSimons,Directed,1787-02-18
4928,James Madison,James Madison,Thomas Jefferson,Directed,1787-02-19
4929, South Carolina Delegates, South Carolina Delegates,Thomas Pinckney,Directed,1787-02-19
4930,Charles Thomson,Charles Thomson,Rufus King,Directed,1787-02-24
4931,Samuel Alleyne Otis,Samuel Alleyne Otis,James Warren,Directed,1787-02-27
4932, Pennsylvania Delegates, Pennsylvania Delegates,Peter Muhlenberg,Directed,1787-02-28
4933,Charles Thomson,Charles Thomson,Richard Winn,Directed,1787-03-01
