Samuel Huntington,George Washington,Apr. 5 1781
Samuel Huntington,George Washington,Apr. 7 1781
William Sharpe,Nathanael Greene,Apr. 7 1781
Samuel Johnston,James Iredell,Apr. 8 1781
Samuel Huntington,Thomas Jefferson,Apr. 9 1781
Samuel Huntington,Thomas Rodney,Apr. 9 1781
Samuel Huntington,William Churchill Houston,Apr. 9 1781
Thomas Rodney,Diary,Apr. 11-14 1781
Samuel Huntington,George Washington,Apr. 14 1781
John Mathews,George Washington,Apr. 16 1781
Joseph Jones,Thomas Jefferson,Apr. 16 1781
James Madison,Thomas Jefferson,Apr. 16 1781
Thomas Rodney,Diary,Apr. 16-17 1781
The Virginia Delegates,Thomas Jefferson,Apr. 17 1781
Thomas Rodney,Diary,Apr. 18 1781
Samuel Huntington,George Washington,Apr. 20 1781
Samuel Huntington,Thomas Sim Lee,Apr. 20 1781
James Duane,Marinus Willett,Apr. 21 1781
James Mitchell Varnum,William Greene,Apr. 21 1781
Samuel Huntington,George Washington,Apr. 23 1781
Nicholas Van Dyke,Thomas Rodney,Apr. 23 1781
The Virginia Delegates,Thomas Jefferson,Apr. 24 1781
Daniel Carroll,Thomas Sim Lee,Apr. 24 1781
The Board of War,the Board of Admiralty,Apr. 24 1781
The Board of War,the Special Council of the Eastern Shore of Maryland,Apr. 25 1781
Samuel Huntington,Thomas Jefferson,Apr. 27 1781
Samuel Huntington,Matthew Tilghman,Apr. 27 1781
The Virginia Delegates,Thomas Jefferson,Apr. 27 1781
Daniel Carroll,Matthew Tilghman,Apr. 28 1781
Samuel Huntington,Jonathan Trumbull,Apr. 30 1781
John Mathews,Nathanael Greene,Apr. 30 1781
Samuel Huntington,Matthew Tilghman,May 1 1781
Samuel Huntington,George Washington,May 1 73 1781
The Board of War,George Washington,May 1 73 1781
Samuel Johnston,James Iredell,May 1 1781
John Sullivan,George Washington,May 2 1781
John Sullivan,Proposed Address,Congress,May 2 1781
John Mathews,George Washington,May 2 1781
Daniel Carroll,Thomas Sim Lee,May 5 1781
Daniel of St. Thomas Jenifer,John Hall,May 5 1781
James Madison,Thomas Jefferson,May 5 1781
The Virginia Delegates,Thomas Jefferson,May 8 1781
Daniel Carroll,Thomas Sim Lee,May 8 1781
Samuel Johnston,James Iredell,May 8 1781
Samuel Johnston,Allen Jones,May 8 1781
Samuel Johnston,Thomas Burke,May 8 1781
James Lovell,Samuel Holten,May 8 1781
John Sullivan,Meshech Weare,May 8 1781
James Lovell,Samuel Holten,May 9 1781
James Lovell,Benjamin Franklin,May 9 1781
Samuel Livermore,Meshech Weare,May 13 1781
Meriwether Smith,John Beckley,May 13 1781
Samuel Huntington,the States from New Hampshire and Pennsylvania,May 14 1781
Samuel Huntington,Jonathan Trumbull,May 14 1781
Daniel of St. Thomas Jenifer,John Hall,May 15 1781
The Maryland Delegates,Thomas Sim Lee,May 15 1781
John Sullivan,Meshech Weare,May 15 1781
Joseph Jones,George Washington,May 16 1781
John Sullivan,George Washington,May 17 1781
The Maryland Delegates,Thomas Sim Lee,May 19 1781
Samuel Huntington,Joseph Reed,May 19 1781
Samuel Huntington,the Several States,May 19 1781
John Witherspoon,Richard Henry Lee,May 19 1781
John Mathews,Nathanael Greene,May 20 1781
Samuel Huntington,Horatio Gates,May 22 1781
James Lovell,Samuel Holten,May* 22 95 1781
John Mathews,Nathanael Greene,May 22 1781
Samuel Livermore,Meshech Weare,May 22 1781
The Virginia Delegates,Thomas Jefferson,May 22 97 1781
Samuel Huntington,the Several States,May 24 1781
Abraham Gark,John Stevens,May 24 1781
Oliver Wolcott,Samuel Huntington,May 26 1781
Samuel Huntington,George Washington,May 28 1781
Samuel Huntington,George Washington,May 28 1781
John Sullivan,George Washington,May 28 1781
Daniel of St. Thomas Jenifer,John Hall,May 28 lOi 1781
The New Hampshire Delegates,Meshech Weare,May 29 1781
James Lovell,Samuel Holten,May 29 1781
James Madison,Edmund Pendleton,May 29 1781
The Board of War,the Several States,May 30 1781
The Maryland Delegates,Thomas Sim Lee,May 30 1781
Samuel Johnston,James Iredell,May 30 1781
Joseph Jones,George Washington,May 31 1781
Samuel Huntington,the Several States,June 2 1781
Samuel Huntington,the States of Pennsylvania; Delaware; and Maryland,June 2 1781
Samuel Huntington,George Washington,June 2 1781
Samuel Huntington,George Washington,June 3 1781
Samuel Huntington,Nathanael Greene,June 3 1781
Samuel Huntington,Thomas Jeflferson,June 3 1781
The Maryland Delegates,George Plater and William BruflF,June 3 1781
The Virginia Delegates,Thomas Jefferson,June 3 1781
Theodorick Bland,Thomas Jefferson,June 3 1781
The Maryland Delegates,Thomas Sim Lee,June 4 1781
John Mathews,Nathanael Greene,June 4 1781
Daniel of St. Thomas Jenifer,George Weedon,June 5 1781
Samuel Livermore,Meshech Weare,June 5 1781
James Mitchell Varnum,William Greene,June 8 1781
William Ellery,William Greene,June 9 1781
John Sullivan,George Washington,June 11 1781
Daniel of St. Thomas Jenifer,John Hall,June 11  15 1781
John Witherspoon,Speech in Congress on the Appointment of Plenipotentiaries,June 11 1781
The Maryland Delegates,Thomas Sim Lee,June 12 1781
Richard Howly,Horatio Gates,June 13 1781
Thomas Rodney,Caesar Rodney,June 14 1781
Samuel Huntington,the Several States,June 15 1781
Samuel Huntington,Thomas Jefferson,June 15 1781
John Witherspoon,Benjamin Franklin,June 15 1781
Thomas Rodney,Caesar Rodney,June 15 1781
Samuel Himtington,Benjamin Franklin,June 19 1781
The Board of War,Proceedings,June 19 1781
Samuel Huntington,George Washington,June 20 1781
Joseph Jones,George Washington,June 20 1781
James Lovell,John Adams,June 21 1781
The Board of War,George Washington,June 22 1781
Richard Howly,John Laurens,June 22 1781
Samuel Johnston,Thomas Burke,June 23 1781
John Mathews,Nathanael Greene,June 25 1781
The South Carolina Delegates,Timothy Pickering,June 25 1781
Charles Thomson,the Several States,June 26 1781
The Board of War,George Washington,June 26 1781
James Lovell,Mrs. Abigail Adams,June 26 1781
Samuel Livermore,Meshech Weare,June 26 1781
The Maryland Delegates,Thomas Sim Lee,June 26 1781
Samuel Johnston,James Iredell,June 27 1781
Samuel Huntington,Timothy Pickering,June 28 1781
Samuel Huntington,George Washington,July 2 1781
John Sullivan,George Washington,July 2 1781
Theodorick Bland,George Washington,July 2 1781
James Mitchell Varnum,William Greene,July 2 1781
Joseph Jones,George Washington,July 3 1781
The Board of War,Proceedings,July 3 1781
Roger Sherman,Jonathan Trumbull,July 3 1781
Samuel Livermore,Meshech Weare,July 3 1781
Samuel Huntington,Benjamin Franklin,July 5 1781
Daniel of St. Thomas Jenifer,Benjamin Franklin,July 6 1781
Samuel Huntington,George Washington,July 8 1781
Thomas McKean,Samuel Adams,July 8 1781
Samuel Huntington,George Washington,July 10 1781
John Sullivan,Meshech Weare,July 10 1781
Samuel Osgood,John Lowell,July 10 1781
The President of Congress (Thomas McKean),the Several States,July 12 1781
The Connecticut Delegates,Jonathan Trumbull,July 12 1781
Samuel Osgood,Henry Gardner,July 12 1781
Thomas Rodney,Diary,July 1 1781
Thomas McKean,George Washington,July 14 1781
The Board of War,Proceedings,July 14 1781
Thomas McKean,George Washington,July 17 1781
John Sullivan,John Wendell,July 17 1781
Richard Potts,Thomas Sim Lee,July 17 1781
The Georgia Delegates,John Jones,July 18 1781
Thomas McKean,the Marquis de Lafayette,July 19 1781
William Sharpe,Christian Febiger,July 19 1781
James Lovell,John Adams,July 21 1781
Edmund Randolph,George Webb,July 23 1781
The Virginia Delegates,Thomas Nelson,July 24 1781
Joseph Jones,Thomas Jefferson,July 24 X53 1781
Joseph Jones,John Taliaferro,July 24 1781
Daniel of St. Thomas Jenifer,John Hall,July 24 1781
Richard Potts,Samuel Hughes,July 24 1781
Elias Boudinot,John Stevens,July 24 1781
The Rhode Island Delegates,William Greene,July 24 1781
Samuel Livermore,Meshech Weare,July 24 1781
Thomas McKean,the States from New Hampshire,New Jersey,July 25 1781
Thomas McKean,George Washington,July 26 1781
Thomas McKean,Nathanael Greene,July 26 1781
The Board of War,George Washington,July 26 1781
The Pennsylvania Delegates,Joseph Reed,July 26 1781
William Sharpe,Thomas Burke,July 28 1781
William Sharpe,Nathanael Greene,July 28 1781
Elias Boudinot,Peter Wilson,July 28 1781
Roger Sherman,Josiah Bartlett. July 31 1781
Ezra L'Hommedieu,George Clinton,July 31 1781
Oliver Ellsworth,Jonathan Trumbull,Aug. 1 1781
Thomas McKean,George Washington,Aug. 3 1781
The New York Delegates,Memorial,Congress,Aug. 3 1781
Joseph Jones,George Washington,Aug. 5 1781
Thomas McKean,Joseph Reed,Aug. 7 1781
Thomas McKean,George Washington,Aug. 7 1781
A Committee of Congress,George Washington,Aug. 7 1781
The Georgia Delegates,George Washington,Aug. 7 1781
The Virginia Delegates,Thomas Nelson,Aug. 7 1781
The New York Delegates,George Ointon,Aug. 7 1781
John Sullivan,Meshech Weare,Aug. 7 1781
Samuel Livermore,Meshech Weare,Aug. 7 1781
Roger Sherman,Jonathan Trumbull,Aug. 7 1781
The New York Delegates,George Clinton,Aug. 9 1781
The New York Delegates,Udny Hay,Aug. 9 1781
James Lovell,Mrs. Abigail Adams,Aug. lo 174 1781
James Lovell,Elbridge Gerry,Aug. 10 1781
The New York Delegates,George Clinton,Aug. 10 1781
James EHiane,Robert R. Livingston,Aug. 11 1781
Thomas McKean,George Washington,Aug. 12 1781
Thomas McKean,Richard Henry Lee,Aug. 13 1781
Robert Morris and Richard Peters,George Washington,Aug. 13 1781
The Virginia Delegates,Thomas Nelson,Aug. 14 1781
James Madison,Edmund Pendleton,Aug. 14 1781
John Mathews,Nathanael Greene,Aug. 14 1781
The Connecticut Delegates,Jonathan Trumbull,Aug. 14 1781
James Duane,George Clinton,Aug. 14 1781
Samuel Livermore,Meshech Weare,Aug. 14 1781
The Rhode Island Delegates,William Greene,Aug. 14 1781
Daniel Mowry,Daniel Manton,Aug. 14 1781
Thomas McKean,Thomas Nelson,Aug. 15 1781
Thomas McKean,Thomas Sim Lee,Aug. 15 1781
Thomas McKean,Thomas Bradford,Aug. 15 1781
James Lovell,John Jay,Aug. 15 1781
Ezra L'Hommedieu,George Clinton,Aug. 16 1781
A Committee of Congress,the Agents for Vermont,Aug. 18 1781
The Maryland Delegates,Thomas Sim Lee,Aug. 18 1781
Thomas McKean,Thomas Jefferson,Aug. 20 1781
James Duane,George Clinton,Aug. 20 1781
James Mitchell Varnum,George Washington,Aug. 20 1781
The Virginia Delegates,Thomas Nelson,Aug. 20 1781
Joseph Jones,the Virginia State Auditors,Aug. 20 1781
The New York Delegates,George Clinton,Aug. 21 1781
Ezra L'Hommedieu,George Clinton,Aug. 21 1781
Samuel Livermore,Meshech Weare,Aug. 21 1781
James Mitchell Varnum,George Washington,Aug. 23 1781
James Lovell,Mrs. Elizabeth Dana,Aug. 23 1781
John Mathews,Nathanael Greene,Aug. 23-28 1781
James Lovell,Mrs. Abigail Adams,Aug. 24 1781
Thomas McKean,Certain States,Aug. 25 1781
Thomas McKean,Joseph Reed,Aug. 25 1781
Elias Boudinot,William Livingston,Aug. 25 1781
Thomas McKean,Nathanael Greene,Aug. 28 1781
Samuel Osgood,John Lowell,Aug. 28 1781
The Rhode Island Delegates,William Greene,Aug. 28 1781
Roger Sherman,Oliver Ellsworth,Aug. 28 1781
James Duane,George Clinton,Aug. 28 1781
James Duane,Robert R. Livingston,Aug. 28 1781
Ezra L'Hommedieu,William Floyd,Aug. 28 (? 1781
Ezra L'Hommedieu,David Gelston,Aug. 28 1781
The Virginia Delegates,Thomas Nelson,Aug. 28 1781
John Witherspoon,Samuel Huntington,Aug. 29 1781
Thomas McKean,Joseph Reed,Aug. 30 . 1781
William Sharpe,George Washington,Sept. 1 204 1781
Thomas McKean,the Comte de Rochambeau,Sept. 4 1781
Thomas McKean,Arthur Lee,Sept. 4 1781
Thomas McKean,Richard Henry Lee,Sept. 4 1781
The Virginia Delegates,Thomas Nelson,Sept. 4 1781
Samuel Livermore,Meshech Weare,Sept. 4 1781
The Rhode Island Delegates,William Greene,Sept, 4 207 1781
Roger Sherman,Jonathan Trumbull,Sept. 4 1781
Roger Sherman,Oliver Ellsworth,Sept. 4 1781
William Sharpe,Nathanael Greene,Sept. 4 1781
Richard Howly,Horatio Gates,Sept. 6 1781
Thomas McKean,Robert R. Livingston,Sept. 6 1781
Thomas McKean,Thomas Rodney,Sept. 6 1781
Edmund Randolph,Thomas Jefferson,Sept. 7 1781
Ezra L'Hommedieu,George Clinton,Sept. 7 1781
Ezra L'Hommedieu,George Clinton,Sept. 8 1781
The New York Delegates,George Clinton,Sept. 9 1781
James Duane,George Washington,Sept. 9 1781
Thomas McKean,the States of New Jersey and Pennsylvania,Sept. 11 1781
James Duane,Robert R. Livingston,Sept. 11 1781
William Sharpe,Samuel Huntington,Sept. 11 1781
Thomas McKean,George Washington,Sept. 15 1781
Charles Thomson,Meriwether Smith,Sept. 15 1781
James Lovell,Mrs. Abigail Adams,Sept. 15 1781
James Lovell,Samuel Adams,Sept. 15 1781
Roger Sherman,Jonathan Trumbull,Sept. 15 1781
The Virginia Delegates,Thomas Nelson,Sept. 18 1781
Samuel Livermore,Meshech Weare,Sept. 18 1781
William Sharpe,Samuel Huntington,Sept. 18 1781
