id,source,target,label
369,Registration of Land Grant,George Rogers Clark,George Rogers Clark
370,Pierre Prevost,George Rogers Clark,George Rogers Clark
371,Inhabitants of Boonesborough,George Rogers Clark,George Rogers Clark
372,Petition of Inhabitants of Boonesborough,George Rogers Clark,George Rogers Clark
373,Petition of Inhabitants of Bryan's Station,George Rogers Clark,George Rogers Clark
374,Thomas Jefferson,William Preston,William Preston
375,George Rogers Clark,John Todd,John Todd
376,George Rogers Clark,William Fleming,William Fleming
377,Daniel Brodhead,George Rogers Clark,George Rogers Clark
378,Charles Mynn Thruston,George Rogers Clark,George Rogers Clark
379,Petition of French Magistrates,George Rogers Clark,George Rogers Clark
380,Land Grants,Soldiers,Soldiers
381,William Shannon,Evan Baker,Evan Baker
382,Thomas Jefferson,George Rogers Clark,George Rogers Clark
383,Thomas Jefferson,George Rogers Clark,George Rogers Clark
384,George Rogers Clark,John Dodge,John Dodge
385,Battist,George Rogers Clark,George Rogers Clark
386,George Rogers Clark,Oliver Pollock,Oliver Pollock
387,Daniel Brodhead,George Rogers Clark,George Rogers Clark
388,Pierre Dorion,George Rogers Clark,George Rogers Clark
389,John Todd,Thomas Jefferson,Thomas Jefferson
390,Trustees at Fort Jefferson,George Rogers Clark,George Rogers Clark
391,Thomas Jefferson,Speaker of the House of Delegates,Speaker of the House of Delegates
392,Proposed Land Grant,George Rogers Clark,George Rogers Clark
393,Inhabitants of Vincennes,the Governor of Virginia,the Governor of Virginia
394,Thomas Jefferson,William Preston,William Preston
395,J. M. P. Le Gras,George Rogers Clark,George Rogers Clark
396,John Dodge,Thomas Jefferson,Thomas Jefferson
397,Inhabitants of Vincennes,Luzerne,Luzerne
398,George Rogers Clark,John Clark,John Clark
399,Thomas Jefferson,George Rogers Clark,George Rogers Clark
400,John Montgomery,George Rogers Clark,George Rogers Clark
401,Thomas Jefferson,George Rogers Clark,George Rogers Clark
402,Thomas Jefferson,Joseph Crockett,Joseph Crockett
403,Thomas Jefferson,George Rogers Clark,George Rogers Clark
404,Richard McCarty,John Todd,John Todd
405,Robert George,George Rogers Clark,George Rogers Clark
406,Robert George,John Rogers,John Rogers
407,John Williams,George Rogers Clark,George Rogers Clark
408,Leonard Helm,George Slaughter,George Slaughter
409,John Todd,Thomas Jefferson,Thomas Jefferson
410,Richard Harrison,George Rogers Clark,George Rogers Clark
411,J. M. P. Le Gras,George Rogers Clark,George Rogers Clark
412,George Slaughter,Thomas Jefferson,Thomas Jefferson
413,William Shannon,Thomas Jefferson,Thomas Jefferson
414,John Gibson,George Rogers Clark,George Rogers Clark
415,John Dodge,Oliver Pollock,Oliver Pollock
416,Thomas Walker,George Rogers Clark,George Rogers Clark
417,Geoffrey Linctot,George Slaughter,George Slaughter
418,General Steuben,George Rogers Clark,George Rogers Clark
419,Thomas Jefferson,George Rogers Clark,George Rogers Clark
420,Geoffrey Linctot,George Slaughter,George Slaughter
421,J. M. P. Le Gras,George Slaughter,George Slaughter
422,George Slaughter,Thomas Jefferson,Thomas Jefferson
423,Daniel Brodhead,Thomas Jefferson,Thomas Jefferson
424,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
425,Robert George,Oliver Pollock,Oliver Pollock
426,John Montgomery,Thomas Jefferson,Thomas Jefferson
427,Thomas Jefferson,George Rogers Clark,George Rogers Clark
428,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
429,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
430,Thomas Jefferson,George Rogers Clark,George Rogers Clark
431,Officers of Berkley County,Thomas Jefferson,Thomas Jefferson
432,Officers of Greenbrier County,Thomas Jefferson,Thomas Jefferson
433,John Todd,Thomas Jefferson,Thomas Jefferson
434,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
435,Thomas Jefferson,George Rogers Clark,George Rogers Clark
436,Robert George,George Slaughter,George Slaughter
437,Thomas Jefferson,George Rogers Clark,George Rogers Clark
438,John Gibson,George Rogers Clark,George Rogers Clark
439,Daniel Brodhead,George Rogers Clark,George Rogers Clark
440,Daniel Brodhead,George Rogers Clark,George Rogers Clark
441,Joseph Crockett,Thomas Jefferson,Thomas Jefferson
442,Isaac Craig,George Rogers Clark,George Rogers Clark
443,Isaac Craig,George Rogers Clark,George Rogers Clark
444,Daniel Brodhead,George Rogers Clark,George Rogers Clark
445,John Gibson,George Rogers Clark,George Rogers Clark
446,George Rogers Clark,Isaac Craig,Isaac Craig
447,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
448,Geoffrey Linctot,George Slaughter,George Slaughter
449,Geoffrey Linctot,Thomas Jefferson,Thomas Jefferson
450,John Todd,George Rogers Clark,George Rogers Clark
451,George Slaughter,Thomas Jefferson,Thomas Jefferson
452,George Slaughter,Thomas Jefferson,Thomas Jefferson
453,Garret Van Meter,Thomas Jefferson,Thomas Jefferson
454,John Todd,Thomas Jefferson,Thomas Jefferson
455,James Sullivan,George Rogers Clark,George Rogers Clark
456,John Floyd,Thomas Jefferson,Thomas Jefferson
457,John Floyd,George Rogers Clark,George Rogers Clark
458,George Rogers Clark,Jonathan Clark,Jonathan Clark
459,George Washington,the Board of War,the Board of War
460,Thomas Jefferson,George Rogers Clark,George Rogers Clark
461,Joseph Hunter,George Rogers Clark,George Rogers Clark
462,John Todd,George Rogers Clark,George Rogers Clark
463,John Floyd,Thomas Jefferson,Thomas Jefferson
464,John Floyd,George Rogers Clark,George Rogers Clark
465,John Rogers,Thomas Jefferson,Thomas Jefferson
466,Isaac Craig,George Rogers Clark,George Rogers Clark
467,John Gibson,George Rogers Clark,George Rogers Clark
468,Archibald Lochry,George Rogers Clark,George Rogers Clark
469,Joseph Reed,George Rogers Clark,George Rogers Clark
470,Richard Peters,George Rogers Clark,George Rogers Clark
471,George Rogers Clark,George Washington,George Washington
472,George Rogers Clark,George Washington,George Washington
473,William Shannon,George Rogers Clark,George Rogers Clark
474,James Sullivan,George Rogers Clark,George Rogers Clark
475,John Floyd,George Rogers Clark,George Rogers Clark
476,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
477,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
478,George Rogers Clark,William Fleming,William Fleming
479,George Rogers Clark,Inhabitants of Monongalia County,Inhabitants of Monongalia County
480,George Rogers Clark,Officers of Pennsylvania and Virginia,Officers of Pennsylvania and Virginia
481,John Gibson,George Rogers Clark,George Rogers Clark
482,John Gibson,George Rogers Clark,George Rogers Clark
483,John Gibson,George Rogers Clark,George Rogers Clark
484,John Gibson,George Rogers Clark,George Rogers Clark
485,John Gibson,George Rogers Clark,George Rogers Clark
486,Geoffrey Linctot,George Rogers Clark,George Rogers Clark
487,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
488,George Rogers Clark,Joseph Reed,Joseph Reed
489,John Bailey,George Slaughter,George Slaughter
490,George Rogers Clark,Archibald Lochry,Archibald Lochry
491,George Rogers Clark,Major Cracraft,Major Cracraft
492,John Floyd,George Rogers Clark,George Rogers Clark
493,John Montgomery,Thomas Nelson,Thomas Nelson
494,John Montgomery,Thomas Nelson,Thomas Nelson
495,George Slaughter,Thomas Nelson,Thomas Nelson
496,William Croghan,Colonel Davics,Colonel Davics
497,John Gibson,George Rogers Clark,George Rogers Clark
498,John Gibson,George Washington,George Washington
499,Arthur Campbell,George Rogers Clark,George Rogers Clark
500,George Rogers Clark,Kentucky County Commissioners,Kentucky County Commissioners
501,John Todd,George Rogers Clark,George Rogers Clark
502,Thomas Nelson,Leighton Wood,Leighton Wood
503,Kentucky County-lieutenants,George Rogers Clark,George Rogers Clark
504,John Floyd,George Rogers Clark,George Rogers Clark
505,John Montgomery,George Rogers Clark,George Rogers Clark
506,George Rogers Clark,Thomas Nelson,Thomas Nelson
